transaction_id,customer_id,vendor_id,transaction_date,amount,payment_method
TXN_0,104.0,204,Invalid_Date,-50.0,Credit Card
TXN_1,,202,2026-09-01,,PayPal
TXN_2,999.0,202,Invalid_Date,120.5,Bank Transfer
TXN_3,103.0,203,Invalid_Date,,PayPal
TXN_4,104.0,203,Invalid_Date,-50.0,
TXN_5,999.0,201,2026-09-01,15000.0,
TXN_6,,204,2026-09-02,450.0,Bank Transfer
TXN_7,104.0,201,2026-09-01,15000.0,Bank Transfer
TXN_8,103.0,202,2026-09-01,120.5,
TXN_9,105.0,204,,15000.0,PayPal
TXN_10,999.0,202,2026-09-02,,PayPal
TXN_11,,202,,450.0,Credit Card
TXN_12,103.0,204,,15000.0,Bank Transfer
TXN_13,104.0,201,Invalid_Date,120.5,Credit Card
TXN_14,103.0,202,Invalid_Date,-50.0,Credit Card
TXN_15,105.0,203,,-50.0,Credit Card
TXN_16,,204,,-50.0,
TXN_17,102.0,201,Invalid_Date,450.0,
TXN_18,104.0,201,2026-09-02,450.0,
TXN_19,999.0,201,,120.5,Bank Transfer
TXN_20,,204,2026-09-02,450.0,
TXN_21,999.0,201,Invalid_Date,-50.0,PayPal
TXN_22,999.0,202,,450.0,
TXN_23,999.0,202,Invalid_Date,120.5,
TXN_24,101.0,203,Invalid_Date,-50.0,Bank Transfer
TXN_25,101.0,204,,15000.0,Bank Transfer
TXN_26,102.0,203,Invalid_Date,120.5,Bank Transfer
TXN_27,101.0,204,,-50.0,Credit Card
TXN_28,102.0,203,Invalid_Date,450.0,PayPal
TXN_29,999.0,203,,450.0,
TXN_30,999.0,201,Invalid_Date,,
TXN_31,105.0,202,Invalid_Date,15000.0,Credit Card
TXN_32,102.0,202,Invalid_Date,450.0,Credit Card
TXN_33,105.0,201,Invalid_Date,450.0,PayPal
TXN_34,999.0,201,Invalid_Date,,Credit Card
TXN_35,105.0,202,,-50.0,Bank Transfer
TXN_36,103.0,201,2026-09-02,120.5,PayPal
TXN_37,103.0,203,2026-09-02,15000.0,PayPal
TXN_38,102.0,204,,,Credit Card
TXN_39,999.0,204,2026-09-01,-50.0,Bank Transfer
TXN_40,999.0,201,,,Bank Transfer
TXN_41,105.0,201,,,PayPal
TXN_42,101.0,203,2026-09-01,450.0,
TXN_43,,203,Invalid_Date,120.5,PayPal
TXN_44,999.0,203,,120.5,Bank Transfer
TXN_45,102.0,203,2026-09-02,120.5,Credit Card
TXN_46,999.0,204,2026-09-01,450.0,Credit Card
TXN_47,103.0,203,Invalid_Date,120.5,
TXN_48,,201,Invalid_Date,15000.0,Credit Card
TXN_49,999.0,203,2026-09-01,450.0,PayPal
TXN_50,999.0,204,2026-09-02,120.5,Credit Card
TXN_51,101.0,204,,120.5,
TXN_52,102.0,204,2026-09-02,450.0,PayPal
TXN_53,,204,2026-09-01,,Credit Card
TXN_54,103.0,204,Invalid_Date,,Bank Transfer
TXN_55,102.0,204,Invalid_Date,-50.0,PayPal
TXN_56,101.0,203,2026-09-01,-50.0,Credit Card
TXN_57,,203,2026-09-02,-50.0,PayPal
TXN_58,101.0,202,,15000.0,
TXN_59,105.0,204,2026-09-01,120.5,Bank Transfer
TXN_60,103.0,201,2026-09-02,,
TXN_61,101.0,202,2026-09-01,,
TXN_62,103.0,203,2026-09-01,450.0,
TXN_63,102.0,204,,,PayPal
TXN_64,102.0,204,2026-09-02,15000.0,PayPal
TXN_65,105.0,203,2026-09-01,450.0,PayPal
TXN_66,103.0,203,Invalid_Date,15000.0,Bank Transfer
TXN_67,101.0,201,2026-09-01,-50.0,PayPal
TXN_68,102.0,204,2026-09-01,120.5,Bank Transfer
TXN_69,101.0,201,2026-09-02,450.0,Credit Card
TXN_70,104.0,201,Invalid_Date,120.5,Bank Transfer
TXN_71,105.0,203,,,Credit Card
TXN_72,103.0,202,2026-09-01,-50.0,Credit Card
TXN_73,104.0,201,2026-09-02,,Bank Transfer
TXN_74,101.0,201,,,PayPal
TXN_75,999.0,203,,,
TXN_76,999.0,201,Invalid_Date,450.0,
TXN_77,105.0,201,2026-09-02,15000.0,Bank Transfer
TXN_78,101.0,202,2026-09-01,450.0,
TXN_79,101.0,201,2026-09-01,15000.0,PayPal
TXN_80,999.0,204,2026-09-01,450.0,Credit Card
TXN_81,102.0,204,2026-09-02,450.0,Bank Transfer
TXN_82,999.0,202,2026-09-01,15000.0,Bank Transfer
TXN_83,104.0,201,,-50.0,PayPal
TXN_84,104.0,204,2026-09-01,-50.0,Credit Card
TXN_85,101.0,204,2026-09-01,,PayPal
TXN_86,999.0,203,Invalid_Date,15000.0,
TXN_87,,201,Invalid_Date,450.0,Bank Transfer
TXN_88,,204,2026-09-02,,
TXN_89,102.0,203,,450.0,
TXN_90,999.0,204,Invalid_Date,450.0,
TXN_91,103.0,204,2026-09-02,-50.0,
TXN_92,104.0,201,,15000.0,PayPal
TXN_93,105.0,203,2026-09-02,15000.0,
TXN_94,,201,,15000.0,Bank Transfer
TXN_95,104.0,202,Invalid_Date,15000.0,PayPal
TXN_96,104.0,203,Invalid_Date,-50.0,
TXN_97,104.0,203,2026-09-02,450.0,Credit Card
TXN_98,104.0,204,,-50.0,Credit Card
TXN_99,102.0,203,2026-09-02,,PayPal
TXN_100,,201,Invalid_Date,120.5,
TXN_101,104.0,203,2026-09-02,15000.0,Bank Transfer
TXN_102,102.0,204,Invalid_Date,15000.0,
TXN_103,,202,Invalid_Date,-50.0,Bank Transfer
TXN_104,104.0,203,2026-09-02,15000.0,PayPal
TXN_105,103.0,204,2026-09-02,,PayPal
TXN_106,999.0,201,2026-09-01,15000.0,PayPal
TXN_107,105.0,204,2026-09-02,120.5,Credit Card
TXN_108,102.0,203,Invalid_Date,,PayPal
TXN_109,104.0,201,2026-09-02,-50.0,Bank Transfer
TXN_110,105.0,202,2026-09-01,-50.0,PayPal
TXN_111,999.0,204,2026-09-02,15000.0,Credit Card
TXN_112,999.0,201,,-50.0,
TXN_113,105.0,204,2026-09-01,450.0,PayPal
TXN_114,103.0,202,2026-09-02,-50.0,Credit Card
TXN_115,105.0,204,2026-09-02,15000.0,Bank Transfer
